model,category,colored,neutral,grid_w,grid_d,grid_h
arch,Structure/Support,yes,no,,,
arch_tall,Structure/Support,yes,no,,,
arch_wide,Structure/Support,yes,no,,,
ball,Projectile,yes,yes,,,
barrier_1x1x1,Barrier,yes,yes,1,1,1
barrier_1x1x2,Barrier,yes,yes,1,1,2
barrier_1x1x4,Barrier,yes,yes,1,1,4
barrier_2x1x1,Barrier,yes,yes,2,1,1
barrier_2x1x2,Barrier,yes,yes,2,1,2
barrier_2x1x4,Barrier,yes,yes,2,1,4
barrier_3x1x1,Barrier,yes,yes,3,1,1
barrier_3x1x2,Barrier,yes,yes,3,1,2
barrier_3x1x4,Barrier,yes,yes,3,1,4
barrier_4x1x1,Barrier,yes,yes,4,1,1
barrier_4x1x2,Barrier,yes,yes,4,1,2
barrier_4x1x4,Barrier,yes,yes,4,1,4
bomb,Projectile,no,yes,,,
bomb_A,Projectile,yes,no,,,
bomb_B,Projectile,yes,no,,,
bracing_large,Structure/Support,yes,no,,,
bracing_medium,Structure/Support,yes,no,,,
bracing_small,Structure/Support,yes,no,,,
button_base,Mechanism,yes,no,,,
cannon_base,Projectile,yes,no,,,
cannon_bullet,Projectile,no,yes,,,
chain_full,Hazard(moving),no,yes,,,
chain_link,Hazard(moving),no,yes,,,
chain_link_end_bottom,Hazard(moving),no,yes,,,
chain_link_end_top,Hazard(moving),no,yes,,,
chest,Collectible,yes,no,,,
chest_large,Collectible,yes,no,,,
cone,Hazard(static),yes,yes,,,
conveyor_2x4x1,Conveyor,yes,no,2,4,1
conveyor_2x8x1,Conveyor,yes,no,2,8,1
conveyor_4x4x1,Conveyor,yes,no,4,4,1
conveyor_4x8x1,Conveyor,yes,no,4,8,1
diamond,Collectible,yes,no,,,
flag_A,Signage/Flag,yes,no,,,
flag_B,Signage/Flag,yes,no,,,
flag_C,Signage/Flag,yes,no,,,
floor_net_2x2x1,Floor/Net,yes,no,2,2,1
floor_net_4x4x1,Floor/Net,yes,no,4,4,1
floor_spikes_2x2x1,Hazard(static),no,yes,2,2,1
floor_spikes_4x4x1,Hazard(static),no,yes,4,4,1
floor_spikes_curved_4x2x2,Hazard(static),no,yes,4,2,2
floor_spikes_trap_2x2x1,Hazard(static),yes,no,2,2,1
floor_spikes_trap_4x4x1,Hazard(static),yes,no,4,4,1
floor_wood_1x1,Floor/Net,no,yes,1,1,thin
